organism	bases	CDS	tRNA	rRNA	tmRNA
Bacillus	4156213	4113	88	30	1
Bacillus	4202507	4166	86	27	1
Bacillus	4217417	4218	87	30	1
Bacillus	4445134	4533	100	30	1
Bacillus	4012893	4121	87	30	1
Bacillus	4214842	4211	87	30	1
Bacillus	4217171	4224	87	30	1
Bacillus	4185259	4372	88	30	1
Bacillus	4211317	4214	87	30	1
Bacillus	4215739	4217	87	30	1
Bacillus	4215606	4216	87	30	1
Bacillus	4175036	4361	88	30	1
Bacillus	4173215	4397	88	30	1
Bacillus	4133372	4341	87	30	1
Bacillus	4377713	4574	87	30	1
Bacillus	4035612	3967	82	26	1
Bacillus	4076630	4017	87	30	1
Bacillus	4243387	4197	88	30	1
Bacillus	4217427	4219	87	30	1
Bacillus	4057895	3993	87	30	1
Bacillus	4216868	4217	87	30	1
Bacillus	4299489	4310	89	30	1
Bacillus	4298779	4311	89	30	1
Bacillus	4299264	4309	89	30	1
Bacillus	4299551	4311	89	30	1
Bacillus	4299525	4308	89	30	1
Bacillus	4299771	4309	89	30	1
Bacillus	4298990	4307	89	30	1
Bacillus	4308670	4317	89	30	1
Bacillus	4295479	4309	89	30	1
Bacillus	4215642	4214	87	30	1
Bacillus	4342529	4396	86	30	1
Bacillus	4096107	4057	86	30	1
Bacillus	4264553	4264	86	30	1
Bacillus	4371489	4435	87	27	1
Bacillus	4166364	4117	87	30	1
Bacillus	4090679	4014	86	30	1
Bacillus	4261356	4268	87	30	1
Bacillus	4153151	4362	86	30	1
Bacillus	4181988	4154	88	30	1
Bacillus	4257224	4325	86	30	1
Bacillus	4123859	4074	87	30	1
Bacillus	4226657	4237	86	30	1
Bacillus	4001615	3924	86	30	1
Bacillus	4250240	4235	89	30	1
Bacillus	4169376	4108	88	27	1
Bacillus	4215744	4202	87	30	1
Bacillus	4224542	4211	86	30	1
Bacillus	4275379	4329	88	30	1
Bacillus	4324000	4354	88	30	1
Bacillus	4256610	4276	86	30	1
Bacillus	4096109	4056	86	30	1
Bacillus	4169161	4135	87	30	1
Bacillus	4215606	4214	87	30	1
Bacillus	4215606	4214	87	30	1
