#miRNA	gene	correlation	pvalue
Macrophages M0	Tmem106a	-0.510207420006613	0.000654740172829769
Macrophages M0	Ltc4s	-0.559934021420113	0.000140882510540241
Macrophages M0	Fgf23	-0.505423671903459	0.00074990916087053
Macrophages M0	Tat	-0.6322121186193	9.25415500763582e-06
Macrophages M0	Kctd9	0.534429666547037	0.000319131190381999
Macrophages M0	Itln1 /// Itlnb /// LOC100862527	-0.521866956296851	0.000466386442867497
Macrophages M0	Ddx42	0.634417131937875	8.4234524802097e-06
Macrophages M0	Psrc1	-0.515279821893059	0.000565749663290322
Macrophages M0	Gfi1b	-0.537201159596667	0.000292916355351991
Macrophages M0	Setd1a	-0.646172865121637	5.03772497991256e-06
Macrophages M0	Fgf16	-0.595172036989326	4.05416696168245e-05
Macrophages M0	Stt3a	0.590547940714539	4.81389442664243e-05
Macrophages M0	Hdac2	0.560053256432738	0.000140322938872813
Macrophages M0	Kctd12	0.542602133905163	0.00024732443742531
Macrophages M0	Gpr35	-0.514464364321932	0.000579282638037694
Macrophages M0	Serpina3n	-0.531909756697034	0.000344776716540384
Macrophages M0	Slc13a2	-0.655321120423254	3.32531904616418e-06
Macrophages M0	Pik3cd	-0.505780092789869	0.000742415192564878
Macrophages M0	D7Ertd143e	-0.597322272830881	3.73957053076303e-05
Macrophages M0	Iars2	0.623228010185074	1.34751456858533e-05
Macrophages M0	H2-T18 /// H2-T3 /// H2-T3-like /// LOC100862459 /// LOC633417	-0.565019704356306	0.000118726409251843
Macrophages M0	Caprin1 /// Gm20253	0.5299146664032	0.000366378033233814
Macrophages M0	Kifc1	-0.528729547220379	0.000379777528635338
Macrophages M0	Spn	-0.554597154140445	0.000168093464032343
Macrophages M0	Marveld3	-0.62817133239207	1.09741915613244e-05
Macrophages M0	1700017B05Rik	-0.520016617350858	0.000492582999442458
Macrophages M0	Slc11a1	-0.539290528009897	0.000274451972064573
Macrophages M0	Mlph	-0.683249651635021	8.54157005727547e-07
Macrophages M0	Kcnj11	-0.558277530240639	0.000148868018321655
Macrophages M0	Dusp13	-0.555597647780096	0.000162656779252261
Macrophages M0	BC020535	-0.585317448132138	5.82786495024247e-05
Macrophages M0	Nsun2	0.567042435721529	0.000110829063948989
Macrophages M0	Arhgdib	-0.515021786659609	0.000570000999408653
Macrophages M0	Gpr84	-0.568508332829336	0.000105406530962982
Macrophages M0	Ndp	0.595715700789447	3.97242583955916e-05
Macrophages M0	Nrap	-0.595439353897556	4.01378567436309e-05
Macrophages M0	Sf3b4	-0.541982975822733	0.000252204865142057
Macrophages M0	Ids	-0.515016817791867	0.000570083145071704
Macrophages M0	Vcp	0.505299482717763	0.000752536119060798
Macrophages M0	U2af2	-0.583588324167387	6.20353764461666e-05
Macrophages M0	Prok2	-0.588978611578462	5.0998093699373e-05
Macrophages M0	Tmco1	0.604306496782516	2.86497147776291e-05
Macrophages M0	Slc22a7	-0.614480316415405	1.92140734387982e-05
Macrophages M0	Cypt1 /// Cypt7 /// Cypt8	-0.535460483377728	0.000309144321646954
Macrophages M0	Cmah	-0.504563229219683	0.000768279228403201
Macrophages M0	Fam136a	0.578133644120868	7.53743167701715e-05
Macrophages M0	Sigirr	-0.502246302386717	0.000819755267395971
Macrophages M0	BC013712	-0.51107540835139	0.000638678179172705
Macrophages M0	Fam114a1	0.620729210697686	1.49287679524569e-05
Macrophages M0	Sh2b3	-0.551137353267428	0.000188182823112788
Macrophages M0	Plxdc1	-0.536404857737282	0.000300242526400461
